s0,s10,s90,s90d
93,75,76,6
90,64,101,14
82,74,80,9
113,78,130,18
85,68,66,2
38,34,2,0
98,74,51,9
93,76,84,8
29,24,11,1
81,66,68,8
98,81,84,10
99,86,137,8
86,37,17,1
92,80,87,13
87,67,58,9
105,75,104,14
106,70,62,5
44,39,13,5
126,68,132,31
107,74,152,15
101,80,70,13
13,10,4,1
87,70,86,8
106,71,71,3
110,78,84,9
97,73,87,7
89,64,62,16
94,66,64,7
99,78,79,11
40,27,8,0
138,81,153,26
27,23,7,0
81,70,56,10
83,80,111,20
47,28,9,0
93,86,63,14
98,85,118,12
80,66,68,5
84,73,53,8
93,84,55,11
84,75,62,8
54,45,11,1
111,76,127,29
11,14,4,0
47,40,13,1
91,75,69,13
99,62,83,12
40,38,9,2
38,34,5,0
102,75,146,19
98,81,102,9
85,45,21,3
38,35,5,1
99,76,81,13
62,36,14,21
70,36,10,1
94,108,104,11
115,51,64,14
39,28,6,0
88,78,83,10
105,86,97,15
38,42,5,0
43,29,10,4
39,28,3,0
93,45,16,0
122,90,132,13
91,70,68,6
101,82,119,17
95,73,75,10
98,84,85,9
99,63,78,11
92,82,78,18
106,74,128,9
43,32,14,1
16,18,2,1
95,71,75,17
99,80,108,19
105,67,109,11
112,79,118,9
96,70,75,7
102,58,62,11
49,26,16,0
47,40,14,2
87,77,93,11
108,80,100,9
82,62,47,9
109,78,95,7
90,74,70,4
94,76,64,10
11,10,1,1
79,67,73,10
102,78,101,7
42,17,16,0
88,68,61,0
95,78,119,18
79,41,14,5
76,63,53,7
85,71,85,8
97,65,73,5
113,83,139,8
124,83,137,9
111,69,103,17
97,83,56,1
34,24,5,2
103,68,123,20
100,74,87,10
43,32,5,1
101,76,96,8
103,80,90,5
38,26,12,3
96,79,94,28
101,73,73,5
87,41,20,1
100,59,117,17
95,69,81,14
100,86,133,13
116,79,127,20
39,23,5,2
98,70,65,15
105,70,104,13
105,77,87,8
88,73,71,10
92,84,85,14
74,44,15,4
94,74,86,10
35,30,5,1
31,18,12,0
120,78,138,25
95,70,99,22
87,72,64,19
127,80,173,35
46,29,5,2
45,43,9,2
107,69,114,12
103,85,102,21
95,75,88,10
91,67,58,6
96,80,52,9
108,77,124,15
99,84,90,7
104,81,80,15
90,65,58,12
102,79,100,14
84,69,68,3
99,80,58,14
106,79,104,20
113,67,77,13
42,33,11,4
79,25,28,0
91,67,85,9
89,65,74,8
84,66,81,5
111,88,94,14
85,74,92,9
82,51,15,2
119,78,132,15
101,71,71,10
102,50,14,3
89,62,71,3
101,80,86,17
30,26,5,6
115,82,110,19
107,74,139,16
101,79,138,18
102,46,19,1
98,65,63,10
107,83,89,14
107,71,93,8
41,40,5,5
45,35,4,1
96,73,87,12
110,75,118,7
104,85,103,19
104,70,93,16
95,80,63,7
86,65,89,6
102,78,86,10
43,35,4,0
45,29,13,0
117,68,110,33
58,34,12,2
110,80,90,18
111,79,109,17
27,23,1,2
102,70,76,19
104,77,122,24
88,60,89,3
41,25,4,1
37,29,15,0
100,77,78,5
46,33,19,4
101,64,106,17
89,79,88,12
53,21,10,0
99,72,97,9
31,29,9,0
45,29,10,0
100,97,75,10
105,73,116,18
46,29,8,0
92,69,77,14
100,45,109,11
90,64,74,8
100,74,88,9
108,91,89,14
86,64,71,6
78,71,49,14
35,23,13,0
101,77,97,28
83,71,55,5
66,34,13,4
98,74,78,12
13,14,2,0
26,23,5,2
102,86,99,16
42,27,12,3
99,75,92,11
99,78,112,23
49,35,10,0
40,34,7,2
50,40,6,3
103,96,132,9
49,30,15,0
102,72,95,14
100,71,89,19
57,30,13,2
15,14,3,3
47,29,9,2
113,93,141,15
120,89,158,35
38,34,5,6
104,78,100,20
108,81,95,11
34,20,6,0
91,76,81,18
46,42,7,6
107,64,94,11
108,76,77,3
16,13,6,1
55,30,9,5
111,75,181,17
105,95,133,18
82,67,56,8
92,71,88,4
44,35,5,1
88,59,55,7
89,71,77,6
48,26,10,5
107,71,113,15
100,79,100,5
15,19,1,5
112,81,118,18
111,78,132,11
106,83,115,17
44,39,8,5
92,77,64,4
75,67,39,0
89,68,71,10
41,34,8,0
103,72,78,8
102,75,94,15
106,79,96,15
40,29,7,0
115,71,112,12
110,100,86,14
55,33,13,1
35,33,11,0
96,65,68,9
39,24,3,2
91,62,61,10
97,68,94,7
106,78,136,30
104,72,90,19
39,37,11,2
115,83,111,17
101,64,70,9
