red_flag,s0,s10,s90,s90d
0,104,72,93,15
2,112,78,104,20
1,44,31,16,2
0,107,78,98,5
1,28,24,15,0
0,97,92,64,5
0,98,61,80,13
0,94,83,71,11
1,36,20,8,2
2,119,77,118,16
2,112,81,127,16
0,86,64,59,3
1,35,20,10,3
0,99,82,86,7
0,104,67,92,7
2,101,60,114,9
2,98,75,132,11
1,54,40,9,2
0,91,66,81,7
2,106,78,119,11
2,110,79,117,25
1,51,34,17,1
0,85,63,67,2
2,91,78,113,7
0,97,67,73,13
0,100,69,78,16
2,91,83,112,20
2,101,69,107,10
1,45,36,5,2
0,93,76,76,12
0,101,74,80,1
0,98,75,98,12
1,80,42,22,5
2,101,74,116,9
2,100,87,104,12
0,101,76,90,19
0,109,75,64,17
0,90,74,75,8
1,30,26,5,0
1,42,31,17,1
2,119,106,143,20
0,86,62,58,3
0,95,85,88,6
1,30,24,7,0
2,109,76,114,13
2,98,75,101,8
1,31,22,6,2
0,90,66,80,7
2,102,68,108,17
0,97,62,83,13
2,129,114,125,19
0,93,63,62,13
2,101,50,123,10
2,100,74,113,17
2,97,75,109,2
0,104,78,89,12
1,51,33,8,0
0,91,76,94,15
2,119,80,129,13
1,47,28,9,0
1,46,26,10,2
0,96,66,75,6
2,125,95,144,22
0,89,60,56,7
1,42,37,16,2
1,35,33,4,1
1,49,29,10,0
0,82,62,73,8
0,96,66,96,9
2,112,60,103,8
0,91,63,73,9
2,109,88,105,16
0,81,64,44,4
2,107,77,151,28
0,87,74,88,15
0,97,69,96,12
1,38,27,10,2
2,109,73,119,10
2,109,78,116,18
2,102,71,150,17
1,11,11,8,0
1,32,31,4,1
0,98,67,82,11
2,118,92,150,23
0,85,72,89,16
0,98,63,93,13
1,31,22,9,3
0,111,98,68,8
2,108,91,107,14
1,54,31,21,6
0,77,65,53,2
0,87,71,78,9
0,100,75,72,14
0,92,67,80,6
2,93,79,104,12
2,109,73,108,7
2,113,84,131,10
2,99,63,108,14
0,96,70,88,6
1,56,32,11,0
2,107,84,100,8
2,115,70,118,7
2,88,77,102,22
2,116,76,114,14
1,49,23,11,0
0,97,77,87,4
1,37,29,14,3
2,100,87,103,17
2,108,79,116,10
1,9,8,27,0
2,116,85,117,19
1,32,26,6,0
0,97,65,67,10
2,112,80,119,13
2,103,79,103,10
0,96,68,62,16
1,43,39,11,4
1,52,29,16,0
2,92,69,104,11
2,113,82,121,6
1,32,19,7,3
0,101,71,96,9
0,81,65,76,4
0,96,63,76,7
1,44,23,12,1
1,34,32,11,4
2,122,106,117,12
0,87,66,75,10
0,94,78,85,13
1,91,52,21,1
2,90,69,108,7
0,95,65,76,8
0,106,73,94,5
0,92,70,71,7
1,45,33,12,5
0,96,62,90,8
2,130,123,181,24
0,105,73,75,10
0,89,63,78,16
1,30,26,8,4
2,122,81,141,18
0,108,78,96,23
2,83,71,107,21
2,103,53,113,11
0,105,64,59,12
2,91,70,120,10
1,104,57,21,4
1,41,31,10,0
1,43,35,8,1
0,100,71,83,6
0,106,76,77,12
0,89,62,74,2
0,105,86,96,8
2,85,78,135,10
0,98,68,80,14
2,109,84,148,30
0,93,77,68,16
0,98,85,88,20
2,101,83,102,20
1,106,48,31,1
2,107,80,110,9
0,98,59,73,9
2,103,74,119,27
1,24,23,10,4
2,112,75,118,28
1,41,31,22,0
1,14,13,6,2
2,117,87,150,23
0,100,66,97,4
1,39,36,7,6
0,79,60,71,3
1,19,26,17,0
2,101,81,111,13
1,33,26,10,1
2,130,109,110,15
0,100,78,86,16
0,100,73,70,11
1,41,41,4,0
1,81,28,25,0
0,89,78,58,7
1,90,46,29,2
0,96,63,93,8
1,59,50,15,0
0,111,73,85,8
2,142,121,197,35
2,113,87,118,20
2,112,78,117,15
1,59,54,20,0
0,91,81,80,3
0,97,63,79,11
1,43,30,17,3
0,109,70,97,18
1,12,19,15,0
0,104,73,92,9
1,38,22,11,3
1,39,35,10,4
0,82,68,70,8
1,40,30,15,0
2,107,65,109,15
1,36,25,6,0
1,43,31,12,0
0,92,73,63,13
0,98,67,82,16
1,13,14,4,0
0,88,85,89,4
1,30,11,13,1
1,43,32,13,2
0,99,77,75,15
1,93,50,22,4
0,93,76,86,12
0,99,75,67,3
2,95,78,108,20
0,90,78,89,9
1,46,29,11,4
1,42,35,15,1
0,98,71,95,13
1,25,27,16,3
2,100,76,114,17
0,97,65,74,8
0,88,73,79,13
2,112,82,159,15
0,95,54,66,6
0,90,72,86,4
0,80,65,50,7
1,14,18,6,0
0,85,64,68,8
2,106,98,126,26
0,86,67,60,6
2,106,76,107,16
0,85,61,77,16
0,84,76,79,4
0,78,60,64,4
0,81,62,59,10
0,86,69,72,9
1,81,40,19,3
2,116,86,176,19
2,111,79,110,23
0,96,61,58,8
1,36,23,11,4
0,114,85,95,11
2,106,71,130,24
0,89,64,57,3
0,87,62,71,5
1,12,13,5,0
2,108,97,126,18
0,94,67,53,6
0,82,66,63,0
0,95,71,77,7
1,14,16,8,0
1,40,31,14,1
1,32,31,9,1
1,51,27,11,1
2,97,78,100,17
0,101,68,84,12
1,45,32,13,2
0,103,67,97,8
0,81,68,65,13
1,37,33,15,4
0,100,70,97,17
0,107,59,84,10
0,86,67,76,10
0,78,45,72,7
2,116,68,149,23
0,106,96,91,13
2,108,80,111,23
1,97,42,15,0
2,115,78,122,24
2,112,78,140,12
0,97,71,88,8
2,107,67,102,24
1,58,34,14,1
1,44,28,14,0
0,96,76,94,3
0,88,61,85,7
0,98,63,87,10
0,89,62,76,7
2,94,80,106,12
0,96,54,89,10
1,40,16,12,1
0,107,72,90,10
2,102,87,100,12
1,50,36,8,0
2,108,70,109,16
2,99,88,122,25
2,104,82,109,16
1,37,31,5,2
1,45,40,17,0
2,108,78,108,20
0,89,68,49,7
1,48,36,6,3
0,102,79,79,10
1,44,31,15,3
2,116,73,144,15
2,118,84,128,28
1,45,33,9,2
1,47,29,13,3
0,115,72,99,18
1,47,25,12,1
1,45,14,16,0
0,84,70,89,4
2,108,78,134,13
0,82,63,81,9
0,99,71,81,13
0,92,68,87,17
0,78,71,75,2
2,113,85,150,15
2,119,95,184,28
0,83,61,42,6
1,56,38,10,0
0,99,74,99,14
1,13,16,15,3
1,94,49,14,3
0,92,71,99,16
2,111,82,102,9
2,106,94,103,16
1,13,11,3,4
1,90,46,20,1
2,108,80,125,19
1,48,39,15,4
1,37,32,12,3
2,103,80,113,23
0,86,78,96,10
0,99,68,80,13
2,108,78,156,28
2,92,79,110,18
1,43,31,12,1
0,93,58,80,12
1,52,43,15,0
1,44,34,18,0
2,96,70,118,10
1,28,17,10,4
2,125,86,183,27
2,105,72,106,15
1,38,31,13,4
0,117,82,92,10
0,81,69,67,4
0,95,81,74,16
2,117,77,129,11
2,101,70,109,9
0,83,72,84,3
1,28,24,13,4
2,115,86,141,17
0,99,78,69,11
0,100,73,78,14
0,89,68,71,5
2,111,94,101,18
0,97,64,92,16
1,41,31,11,2
0,94,64,76,15
0,94,54,62,8
0,82,59,85,6
2,121,54,130,30
2,113,87,168,19
0,95,67,82,11
2,110,83,123,21
1,43,31,11,0
1,41,29,7,0
2,102,78,130,14
1,11,9,5,0
0,105,55,70,7
0,90,76,71,11
0,84,62,66,11
2,97,77,110,12
0,99,73,66,9
2,93,76,120,13
1,38,28,13,0
1,43,23,10,0
1,48,40,15,2
2,107,85,126,19
1,37,29,9,1
1,84,46,9,1
2,121,88,168,20
0,92,65,70,7
2,100,82,117,15
2,98,94,126,12
0,106,65,93,8
0,79,71,43,1
0,107,70,77,3
1,85,45,19,0
1,28,22,8,0
2,114,84,136,11
0,90,68,68,7
2,84,64,105,9
1,51,32,12,1
1,41,32,17,0
1,29,24,4,2
0,102,65,96,10
0,84,64,53,8
1,37,18,20,2
1,52,34,14,0
1,35,36,9,0
2,100,67,116,12
0,102,76,59,10
2,107,76,105,8
1,55,21,12,0
0,100,72,84,15
0,63,60,48,2
0,81,55,80,6
1,38,26,6,2
2,95,73,102,13
0,79,55,49,12
2,99,68,133,13
0,100,76,83,11
1,48,32,20,0
0,97,80,80,2
1,89,41,32,5
2,104,79,102,10
2,95,71,103,12
1,41,22,14,5
2,94,78,105,9
1,85,46,25,2
0,87,62,64,8
1,42,33,12,0
2,104,79,120,19
2,110,82,141,26
1,39,25,16,1
0,105,67,90,9
0,101,70,91,11
1,28,20,5,0
0,69,57,49,0
2,116,76,101,8
0,104,85,91,13
2,120,79,135,19
0,97,76,64,5
1,77,52,17,1
0,91,80,97,10
0,85,53,48,5
2,113,75,104,12
1,36,32,16,0
0,91,73,61,7
1,43,29,13,4
0,97,67,91,11
0,84,70,71,15
1,36,37,16,0
0,94,61,83,8
0,103,67,80,18
0,92,72,87,12
1,49,26,14,0
0,94,62,96,8
0,103,78,77,14
0,82,32,67,11
1,88,45,41,1
0,87,62,77,11
0,85,54,64,3
0,93,69,78,6
1,18,35,21,0
1,55,32,21,2
2,99,72,105,17
2,114,75,120,25
2,89,81,108,12
1,16,16,3,0
0,91,68,57,9
0,89,54,94,11
0,98,70,100,12
1,91,36,28,2
0,97,68,94,10
2,89,73,106,13
2,103,70,113,10
0,95,71,55,8
1,34,22,16,4
2,121,87,138,34
0,77,60,64,5
0,100,63,84,14
2,111,76,107,15
0,110,75,93,3
1,40,32,17,0
0,92,74,90,8
0,97,81,94,8
0,91,66,70,12
0,95,71,82,15
1,42,29,14,0
0,93,64,84,13
2,97,79,138,16
2,99,80,110,15
0,106,76,92,14
1,41,33,4,0
0,85,62,71,4
1,35,14,9,1
2,102,83,118,15
0,93,70,88,13
2,130,110,153,32
0,98,71,85,19
2,112,77,113,16
2,91,64,103,15
1,40,25,12,0
1,50,28,24,0
1,54,32,13,3
0,110,68,88,11
1,51,28,14,0
0,96,76,85,12
2,103,71,118,32
0,75,66,51,9
1,47,30,17,4
2,113,82,115,15
0,97,73,75,6
0,84,44,60,8
1,40,29,8,0
0,105,71,93,16
0,81,69,66,10
1,53,43,12,2
2,95,83,106,11
1,23,18,8,1
0,70,62,56,4
0,100,67,76,9
0,84,53,58,7
0,100,77,97,11
1,40,28,11,0
1,41,32,12,2
0,105,81,95,8
1,31,25,5,1
1,84,34,11,1
2,103,73,131,19
2,104,72,127,12
0,89,60,67,11
2,115,73,110,11
1,44,39,11,6
1,40,22,5,2
0,84,59,61,5
1,32,24,7,3
0,85,67,72,14
2,112,64,119,21
0,93,67,74,9
1,42,39,25,0
0,105,64,95,18
0,106,69,87,10
0,112,84,95,15
1,12,12,5,0
0,103,48,83,9
0,97,64,57,17
2,110,78,108,16
1,46,20,10,2
2,102,71,109,20
2,112,87,112,13
1,34,29,11,4
1,54,32,20,0
2,103,67,107,22
0,87,68,70,14
1,103,40,22,2
0,93,62,83,15
2,104,83,107,16
1,38,25,12,2
0,93,66,81,16
1,44,28,16,0
0,82,74,90,5
0,92,56,51,13
1,30,23,5,2
1,12,18,6,1
0,106,86,84,6
2,132,101,115,13
2,101,85,111,25
2,115,86,125,16
1,37,25,13,0
1,36,28,14,4
2,117,89,148,11
0,90,71,60,14
0,91,62,65,6
1,11,9,8,3
0,98,69,78,14
0,85,62,78,13
2,105,87,158,13
0,95,66,98,15
2,116,97,109,20
0,91,67,59,5
2,103,79,126,17
1,32,27,7,2
2,112,78,138,16
1,35,27,13,3
2,112,76,157,16
2,86,70,101,15
1,35,24,10,0
2,107,84,103,18
1,37,27,7,0
0,94,65,88,10
1,99,59,15,1
0,89,65,80,8
0,101,68,84,8
2,113,72,108,10
2,91,71,108,15
1,46,29,9,1
0,93,66,99,5
2,102,73,117,25
0,88,65,64,11
0,80,60,54,8
1,32,20,11,2
2,95,76,123,22
1,78,37,20,1
0,95,82,94,10
0,97,76,51,5
1,38,28,24,2
0,77,69,52,7
0,91,60,95,11
1,43,28,10,0
1,48,38,12,0
2,105,82,135,26
1,37,30,12,0
2,116,78,118,13
1,30,19,7,2
0,95,73,88,17
2,99,82,111,12
1,79,35,22,3
0,90,62,86,19
2,95,81,104,19
2,110,71,104,28
1,87,35,17,0
1,39,32,10,0
0,109,74,55,9
1,43,30,14,0
0,99,76,74,4
2,93,78,114,10
0,102,80,87,15
1,46,28,10,0
1,48,27,10,0
2,100,76,100,5
2,106,73,118,27
0,97,70,90,7
2,106,69,128,8
1,73,40,25,0
2,108,75,107,30
1,49,26,19,0
0,99,68,95,10
0,101,68,93,19
1,49,31,17,3
1,40,25,8,0
2,107,84,105,14
0,106,80,74,10
1,48,32,5,0
1,35,34,16,3
0,107,70,99,11
0,84,74,86,11
1,41,27,15,3
1,29,28,18,2
0,95,76,87,15
2,100,73,106,24
0,106,80,98,11
2,107,72,100,8
1,33,26,11,0
0,96,68,82,6
1,29,23,10,2
1,19,22,9,0
0,102,72,83,13
0,105,59,88,16
2,85,79,128,16
2,95,75,113,13
0,100,55,85,9
0,87,64,96,6
1,46,40,11,2
0,96,72,94,12
1,45,27,13,0
0,95,61,39,5
0,106,69,95,13
2,124,82,182,27
0,77,65,87,10
2,115,65,121,18
0,83,61,59,4
0,87,64,83,8
1,41,33,16,0
1,39,32,3,2
0,91,66,77,15
2,114,79,128,20
2,96,79,126,2
1,31,26,6,0
0,93,82,78,14
2,111,63,134,11
1,82,36,29,3
0,91,63,72,10
0,90,57,76,5
2,98,80,99,20
1,33,27,8,0
0,88,68,69,8
1,38,28,14,1
0,108,86,96,25
2,127,111,117,13
0,96,61,79,13
0,83,75,82,6
1,32,22,8,1
2,104,83,105,20
0,99,61,96,8
0,90,64,77,11
1,42,36,13,2
0,85,64,84,0
1,51,26,18,3
1,99,45,27,6
0,80,64,78,8
0,86,69,57,8
1,39,29,13,0
1,37,24,16,0
2,102,56,136,18
2,109,89,150,19
0,110,79,98,9
1,46,27,18,4
0,89,69,93,17
2,116,49,118,8
1,45,35,13,0
0,91,79,85,14
2,111,74,112,16
1,27,27,18,0
0,99,70,66,10
0,89,67,98,18
2,113,72,116,21
1,31,22,10,0
0,91,80,82,11
1,41,28,17,0
1,50,29,26,0
1,30,29,11,0
2,114,80,141,20
2,107,69,114,20
0,74,65,61,11
2,108,83,102,19
1,52,31,18,0
0,79,69,67,9
1,52,38,10,1
2,130,59,148,26
0,74,62,89,6
2,114,74,134,34
2,126,79,175,20
0,104,75,68,20
1,96,50,21,0
0,92,66,75,2
0,98,71,80,10
2,86,85,100,12
0,91,78,82,4
1,14,15,8,0
0,96,61,97,13
0,77,69,83,6
0,89,73,85,6
2,95,75,100,18
1,13,13,4,2
2,113,79,108,24
0,74,63,44,3
0,91,70,90,10
0,101,71,88,7
2,109,87,148,15
1,13,12,2,0
2,111,80,132,16
2,104,73,131,12
0,101,72,82,10
0,86,68,61,13
0,93,61,60,18
0,89,69,75,5
1,55,40,18,0
1,30,25,8,0
0,93,66,66,11
0,93,88,77,12
1,45,33,19,0
1,35,27,9,1
0,87,62,95,11
1,40,31,12,5
0,100,67,80,4
2,116,68,121,16
2,125,83,125,20
0,72,55,59,6
0,107,72,70,5
2,111,76,121,14
1,49,30,19,6
2,83,41,107,9
2,104,67,124,12
1,25,16,12,3
0,92,58,74,16
2,109,81,107,15
1,53,36,12,2
1,46,32,18,0
0,90,65,67,13
1,47,37,19,2
1,37,23,14,0
2,94,70,141,16
0,91,66,76,11
0,69,51,60,4
2,95,68,107,12
1,83,39,22,2
1,44,28,6,1
0,94,66,74,8
2,112,74,149,17
1,41,24,11,0
0,90,70,56,9
2,99,75,116,24
0,82,67,65,7
1,54,42,17,0
0,100,74,73,11
1,36,20,14,3
1,36,22,11,0
2,93,68,120,20
1,42,31,8,0
2,100,83,101,11
2,100,81,132,15
0,109,69,95,4
1,29,26,11,2
2,109,88,191,23
0,93,58,77,7
2,124,76,123,8
0,101,61,81,5
0,98,85,88,9
0,97,67,91,18
1,16,15,6,2
0,95,75,99,9
0,95,74,80,19
0,102,80,98,18
2,95,65,124,8
1,41,32,12,1
2,106,73,117,14
2,101,78,114,13
0,94,73,85,23
0,93,73,81,13
2,109,59,105,7
0,90,69,67,8
0,100,70,83,9
1,32,23,9,0
0,102,80,87,12
0,91,67,66,17
1,95,41,18,2
2,112,84,117,23
2,121,84,115,14
2,105,84,106,10
0,95,63,86,7
0,99,73,70,9
0,108,70,100,12
0,97,78,91,15
0,97,65,67,9
1,40,30,10,3
1,43,32,17,0
1,93,49,20,0
0,96,67,100,16
1,38,31,30,5
0,108,76,95,6
0,102,83,86,8
2,93,88,103,15
0,90,68,85,15
0,89,68,63,10
2,110,73,103,19
1,45,37,16,1
0,88,66,68,8
1,12,14,4,3
0,109,81,96,15
0,105,77,63,8
2,117,70,110,20
1,48,43,11,0
2,113,80,160,17
2,103,70,121,13
0,96,67,83,13
0,91,77,88,10
0,103,57,78,9
1,43,32,8,1
0,103,75,99,8
2,102,70,122,14
2,101,73,117,15
1,47,31,12,0
1,38,20,15,0
0,101,65,73,7
0,71,57,48,2
1,30,22,9,1
0,94,65,46,5
0,93,68,84,17
1,48,32,12,0
2,114,52,113,13
0,99,70,87,16
1,35,29,11,0
0,88,73,59,9
0,81,64,57,5
0,92,67,73,7
0,81,60,70,21
1,45,28,11,4
1,90,43,24,0
2,92,61,114,14
0,105,73,72,4
0,90,72,64,5
0,87,65,77,7
0,102,66,82,18
0,81,64,63,6
2,105,76,139,17
1,89,40,24,3
0,100,78,75,10
0,88,57,71,9
1,31,26,12,0
1,13,15,16,4
1,37,32,14,0
2,103,81,129,18
0,109,73,93,15
0,106,78,96,12
2,110,82,133,15
0,113,71,93,9
0,96,42,53,3
0,102,81,82,9
1,94,52,36,2
0,105,68,84,7
0,102,59,91,12
0,82,68,83,7
2,106,72,128,19
0,103,77,84,12
1,16,19,15,2
0,99,74,69,8
1,14,9,10,0
0,75,69,75,6
2,109,71,103,18
2,100,75,124,25
2,105,78,129,13
1,40,31,11,2
0,90,63,81,11
1,36,25,20,1
0,102,57,92,11
1,50,22,14,5
0,93,83,76,12
2,102,77,104,10
0,91,53,59,6
0,95,62,98,12
1,42,34,13,1
1,51,30,12,0
2,113,100,147,20
0,82,68,66,5
0,99,77,89,10
1,73,32,14,2
2,105,73,115,20
0,101,59,83,3
0,86,73,92,11
1,46,26,13,0
0,93,65,98,13
0,84,79,81,11
1,33,26,14,0
0,94,82,76,9
2,109,74,135,15
1,84,41,23,0
2,104,75,129,25
1,82,30,15,3
0,85,61,72,4
2,112,69,105,10
1,37,23,14,1
0,99,68,68,7
1,48,24,18,0
0,100,65,99,9
0,102,74,90,12
2,111,77,121,9
0,108,73,91,12
1,43,31,15,0
1,54,38,11,0
2,111,90,137,19
0,97,72,68,8
2,96,65,137,22
1,39,33,9,0
0,100,69,99,7
2,98,84,116,6
2,91,83,121,21
2,104,86,107,11
0,80,60,77,9
2,98,81,105,10
0,96,65,85,8
2,102,71,115,23
0,88,59,64,11
1,12,9,15,6
0,107,68,88,15
0,81,59,42,12
0,112,84,82,7
0,110,95,75,6
0,106,79,94,14
2,121,88,134,11
1,52,38,14,1
1,12,14,9,3
1,46,28,10,3
1,37,23,15,0
0,108,62,85,9
0,98,81,74,10
0,88,68,61,6
0,91,68,67,13
0,86,68,71,8
2,99,70,101,7
0,99,69,82,11
2,117,90,114,10
1,36,25,14,0
1,35,28,5,2
1,51,31,16,1
2,107,72,118,20
2,97,77,101,11
0,86,58,64,9
2,95,79,110,16
0,93,52,75,14
0,90,70,87,8
0,96,60,74,2
2,98,74,113,21
0,98,59,84,19
2,111,81,149,17
2,109,81,120,22
1,44,21,19,3
0,90,68,59,11
2,107,88,117,15
2,94,71,105,11
0,92,88,76,7
2,94,77,99,11
2,106,69,118,6
2,109,76,122,20
1,46,26,17,0
0,97,78,90,14
1,30,26,18,4
0,90,72,89,9
2,115,72,105,13
2,108,92,124,19
1,42,34,13,0
0,105,65,99,9
2,108,75,116,12
0,101,62,85,17
0,103,76,95,12
1,32,26,4,0
0,86,70,76,18
2,108,76,104,9
0,89,56,78,4
2,99,72,104,13
2,124,88,157,15
1,24,23,6,0
2,109,91,131,22
1,26,27,7,2
2,101,72,107,8
1,46,30,14,1
0,98,72,99,14
2,109,69,137,11
0,95,73,88,8
0,90,63,70,17
2,117,87,159,14
2,103,67,135,24
1,43,23,12,0
0,96,63,74,13
0,81,56,61,10
2,113,85,112,26
0,82,67,77,12
1,71,32,53,15
2,120,87,154,24
0,101,77,60,16
1,28,27,7,0
1,46,36,24,5
0,108,88,71,7
0,104,91,94,13
1,80,43,25,1
1,40,22,10,1
2,115,78,156,19
0,108,79,97,12
1,76,41,12,3
2,103,79,115,14
0,94,83,74,17
1,46,35,18,0
1,83,44,21,3
2,107,67,105,13
1,41,30,18,0
1,34,25,26,2
2,98,77,122,16
1,37,34,19,3
1,30,21,8,0
2,102,79,133,20
2,106,61,106,10
2,97,73,111,20
1,82,60,33,3
0,85,56,72,10
2,120,85,187,33
0,86,65,80,8
1,37,24,19,4
1,36,32,13,2
2,115,77,135,17
0,74,72,64,4
1,36,31,3,2
0,96,65,101,17
2,99,79,99,8
1,36,26,8,0
0,97,69,93,25
0,75,64,60,3
0,108,72,83,14
0,89,62,53,13
1,58,24,20,0
2,117,81,136,13
2,99,83,101,15
1,39,36,9,0
0,107,70,93,6
2,113,86,119,12
2,118,109,129,13
1,40,35,7,0
1,48,28,16,4
2,100,76,103,10
0,87,68,69,5
0,107,76,81,14
2,123,75,130,17
0,94,73,71,8
0,89,69,91,6
0,101,74,78,9
1,12,9,8,0
1,40,24,12,0
0,104,69,98,9
1,11,7,31,5
2,97,77,99,18
1,46,35,14,0
1,46,27,13,0
1,38,29,11,2
2,100,88,126,12
2,105,87,112,17
1,36,30,8,4
0,97,68,83,10
1,39,22,19,2
0,102,74,97,11
1,39,24,17,0
0,86,65,67,5
2,100,60,111,18
1,43,30,8,3
1,35,28,11,0
0,97,64,75,8
2,87,65,102,13
0,91,69,63,7
2,106,80,134,19
1,43,30,13,0
2,129,59,165,29
1,47,36,16,0
0,104,83,81,7
2,100,69,101,22
1,30,23,11,0
0,83,78,62,0
2,113,77,105,5
2,87,68,102,10
1,50,37,23,0
2,109,76,103,27
2,121,84,163,31
0,96,65,56,9
0,94,78,75,9
0,98,55,85,7
1,41,27,8,0
1,56,33,9,4
2,118,82,151,24
2,119,71,120,10
0,101,85,73,6
1,45,25,14,0
0,103,62,84,19
2,96,76,117,26
1,39,26,12,0
1,35,27,11,0
1,45,37,25,0
0,107,73,85,18
2,106,83,119,17
2,109,82,117,13
0,107,74,95,20
0,91,63,59,0
0,75,84,54,9
1,35,25,11,1
2,111,72,101,9
2,98,69,145,21
0,104,71,61,5
1,51,28,17,1
0,108,72,98,16
0,77,58,63,5
0,86,68,54,15
0,111,82,92,16
1,97,54,27,0
0,89,61,73,8
0,98,65,87,21
0,103,73,91,19
2,117,73,114,20
0,101,63,69,18
2,115,80,158,24
1,36,27,25,4
1,36,18,17,3
0,92,59,65,7
2,101,64,105,10
2,109,88,113,16
1,35,27,12,0
0,87,79,76,17
1,98,55,19,0
0,96,61,89,14
1,31,36,12,0
0,84,70,84,7
0,111,62,100,9
0,87,70,69,10
1,36,26,15,4
0,101,71,87,5
2,82,80,104,18
0,95,60,81,1
2,112,83,123,20
0,94,70,94,10
2,112,77,144,19
0,98,76,73,7
1,39,23,11,3
0,79,78,72,10
0,93,56,83,8
1,56,45,22,1
2,117,77,125,17
2,100,73,109,14
0,92,83,53,10
0,85,60,65,9
2,108,78,119,19
2,106,79,100,6
2,91,79,107,14
0,102,72,91,16
2,117,79,172,34
0,93,73,92,9
2,118,75,129,21
0,84,61,73,11
1,43,27,12,2
1,30,18,13,0
2,106,77,104,10
0,105,71,96,17
2,116,84,102,22
0,94,66,55,6
0,96,70,75,5
2,122,102,136,30
2,109,81,154,24
0,97,75,83,19
0,95,69,100,6
0,88,64,83,8
0,100,66,65,17
2,96,80,112,11
1,43,30,4,0
2,120,110,150,27
0,96,59,100,17
0,98,73,76,15
2,112,74,116,12
0,92,67,66,9
0,90,63,55,8
0,96,65,99,16
2,114,66,111,11
1,39,32,4,0
0,89,68,70,10
0,108,73,83,7
0,86,65,71,13
0,99,65,93,10
1,29,15,16,0
0,76,52,64,6
2,116,73,138,12
2,100,58,113,13
2,109,72,105,22
0,112,68,80,10
0,81,76,72,11
0,87,72,94,10
2,106,75,122,18
0,99,77,86,9
2,96,72,135,7
2,114,100,109,7
2,99,68,138,12
1,33,31,7,0
2,96,67,108,14
2,104,66,115,21
0,97,61,72,10
0,90,72,79,6
0,104,65,75,11
0,96,67,65,7
2,102,66,109,19
0,97,66,81,2
1,47,33,15,1
2,114,104,95,12
2,95,76,111,7
0,96,70,77,9
1,86,43,27,0
0,96,64,79,7
1,37,31,9,0
0,95,62,77,9
1,46,28,14,0
2,124,70,108,15
0,97,64,81,20
2,124,117,140,25
1,27,26,5,1
1,50,37,22,1
0,104,69,89,11
2,85,68,102,17
0,90,77,86,10
0,104,75,95,5
1,59,39,26,0
0,103,73,89,7
2,98,79,119,14
0,105,72,89,17
0,105,84,91,12
0,83,58,76,9
1,40,26,15,2
1,44,21,7,0
0,92,76,68,15
0,104,69,96,30
0,89,75,83,12
0,100,68,72,7
0,90,66,93,9
0,100,78,88,10
2,119,89,151,30
2,98,69,141,28
1,51,43,22,2
0,94,75,54,8
2,103,75,129,17
0,86,75,75,2
1,46,25,11,0
1,100,42,25,0
2,97,70,110,12
2,109,87,117,18
0,94,63,73,4
2,111,85,125,22
1,43,28,10,0
1,95,47,17,0
2,101,74,106,13
1,39,23,10,0
1,42,25,16,1
0,105,67,81,3
0,100,80,88,17
1,37,19,11,0
1,28,22,6,0
2,94,66,102,8
2,118,85,126,19
0,100,63,86,17
0,90,51,64,7
0,92,67,84,0
2,112,56,112,19
2,106,68,113,14
2,107,79,106,15
2,85,68,105,10
1,40,18,16,0
0,87,59,83,9
0,91,70,61,10
1,44,27,11,0
0,103,67,78,16
0,99,77,94,13
1,48,31,16,2
0,99,64,70,6
0,88,62,92,14
0,103,65,70,11
2,92,76,126,18
1,39,21,21,1
0,97,69,82,8
1,33,21,11,0
1,32,28,7,1
2,104,68,113,7
0,107,63,86,20
1,38,30,11,1
0,85,57,69,10
0,92,71,76,6
0,90,69,49,8
2,104,96,138,24
0,97,54,72,5
2,129,83,169,22
2,97,73,106,14
2,93,77,104,16
2,113,89,151,12
2,94,76,103,12
1,31,9,12,0
1,15,14,5,2
2,110,63,107,17
0,106,75,59,9
0,94,67,78,18
1,45,38,13,0
1,35,28,15,1
0,107,64,89,12
0,87,65,82,13
2,103,59,103,14
2,107,72,121,16
2,111,84,111,19
2,103,75,109,16
2,119,74,140,21
1,30,20,9,0
0,96,66,82,5
0,86,68,80,7
0,102,81,77,9
0,99,83,95,16
1,35,28,11,2
2,113,74,116,20
1,15,18,14,9
1,43,30,13,1
1,12,12,14,1
0,82,61,66,5
2,110,70,126,17
1,25,19,20,1
0,88,51,69,6
0,79,73,92,16
1,41,32,7,7
1,56,39,12,2
0,103,70,96,4
1,35,23,8,0
0,105,91,85,22
0,92,73,67,18
0,91,73,80,13
1,40,29,13,0
0,86,63,77,10
1,45,35,21,3
0,86,75,75,15
0,97,87,83,7
0,95,65,80,5
0,97,60,88,15
1,41,30,11,1
1,34,31,17,5
0,97,76,97,16
2,115,90,146,16
0,91,59,61,6
0,89,60,90,15
0,91,66,61,8
1,41,29,20,2
1,43,31,14,3
2,110,84,109,24
1,50,35,8,0
0,97,63,80,9
1,13,10,7,2
1,23,17,9,0
0,112,71,86,12
0,93,69,82,14
0,98,68,67,4
2,104,81,113,11
2,110,79,144,15
1,48,36,10,1
0,85,73,76,14
1,51,28,13,0
0,71,56,61,5
2,105,80,153,22
0,90,63,96,18
0,101,68,77,9
2,110,99,116,19
0,90,79,94,6
2,112,72,133,23
0,98,86,85,14
2,113,73,138,20
